,Unnamed: 0,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
3033,3033,2000-03-01,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.011824,0.027,9,25,1.004167,1.6,8,18.0,0.0,0.0,0,0.0,33.521739000000004,48.0,22,45
3034,3034,2000-03-02,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.011235,0.025,10,23,1.5375,2.2,4,25.0,0.173913,1.0,19,1.0,44.173913,55.0,18,52
3035,3035,2000-03-03,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.015294,0.025,10,23,0.729167,1.0,0,11.0,0.391304,3.0,5,4.0,32.608696,42.0,18,40
3036,3036,2000-03-04,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.021647,0.029,12,27,0.7125,1.0,8,11.0,0.26087,3.0,5,4.0,31.347826,42.0,10,40
3037,3037,2000-03-05,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.018882,0.032,11,30,0.404167,0.8,23,9.0,0.086957,2.0,5,3.0,16.956522,42.0,22,40
3038,3038,2000-03-06,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.011412,0.025,9,23,0.725,1.4,23,16.0,0.391304,3.0,5,4.0,33.086957,44.0,21,42
3039,3039,2000-03-07,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.012294,0.02,10,19,1.245833,2.0,6,23.0,0.782609,5.0,5,7.0,33.913043,44.0,23,42
3040,3040,2000-03-08,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.010294,0.02,11,19,0.604167,1.2,23,14.0,0.086957,2.0,5,3.0,29.217391,37.0,19,35
3041,3041,2000-03-09,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.015412,0.029,10,27,1.166667,1.9,4,22.0,0.347826,3.0,5,4.0,28.73913,44.0,22,42
3042,3042,2000-03-10,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.011941,0.027,10,25,1.466667,2.3,23,26.0,1.2608700000000002,5.0,5,7.0,40.347826,59.0,18,56
3043,3043,2000-03-11,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.015176,0.035,10,32,1.458333,2.6,1,30.0,1.086957,6.0,5,9.0,40.608696,57.0,18,54
3044,3044,2000-03-12,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.017471,0.033,9,31,1.7,3.0,4,34.0,2.043478,5.0,5,7.0,46.217391,67.0,19,65
3045,3045,2000-03-13,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.011706,0.026,10,24,0.920833,1.5,23,17.0,0.5217390000000001,2.0,5,3.0,43.0,65.0,10,63
3046,3046,2000-03-14,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.021176,0.041,11,38,2.0708330000000004,3.0,11,34.0,1.478261,5.0,7,7.0,65.478261,116.0,11,104
3047,3047,2000-03-15,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.029294,0.043,11,40,1.325,2.0,0,23.0,0.652174,2.0,5,3.0,52.217391,81.0,12,80
3048,3048,2000-03-16,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.031118,0.043,11,40,0.854167,1.1,0,13.0,0.130435,1.0,5,1.0,34.0,52.0,18,49
3049,3049,2000-03-17,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.016294,0.036,10,33,0.979167,2.5,23,28.0,0.695652,2.0,19,3.0,43.913043,73.0,18,71
3050,3050,2000-03-18,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.029471,0.057,12,58,1.854167,2.8,1,32.0,1.478261,5.0,7,7.0,58.39130400000001,91.0,23,90
3051,3051,2000-03-19,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.031059,0.054,10,50,1.475,2.4,6,27.0,1.521739,4.0,5,6.0,45.26087,85.0,0,84
3052,3052,2000-03-20,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.031588,0.039,10,36,0.454167,0.7,8,8.0,0.26087,2.0,5,3.0,20.217391,35.0,0,33
3053,3053,2000-03-21,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.021647,0.037,9,34,0.454167,0.8,23,9.0,0.347826,3.0,6,4.0,29.217391,58.0,6,55
3054,3054,2000-03-22,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.016941,0.034,10,31,1.058333,1.5,7,17.0,1.0,5.0,5,7.0,44.304348,57.0,23,54
3055,3055,2000-03-23,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.020471,0.035,11,32,1.016667,1.5,6,17.0,1.043478,5.0,5,7.0,40.043478,57.0,0,54
3056,3056,2000-03-24,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,0.014353,0.029,10,27,1.1625,1.7,11,19.0,0.652174,3.0,5,4.0,43.434783,85.0,11,84
